pdb_id,split,component_id,n_chains,n_clusters,clusters
7tdf,train,0,2,1,7fhk__A
7tdm,train,78,2,2,3x29__A;6ov2__B
7tdn,train,78,2,2,3x29__A;6ov2__B
7te9,train,0,4,2,5iou__A;5iov__B
7teb,train,0,4,2,5iou__A;5iov__B
7tee,train,0,4,2,5iou__A;5iov__B
7teq,train,0,4,2,5iou__A;5iov__B
7ter,train,0,4,2,5iou__A;5iov__B
7tes,train,0,4,2,5iou__A;5iov__B
7tet,train,0,4,2,5iou__A;5iov__B
7thu,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
7tie,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
7tih,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
7tii,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
7tj5,train,55,4,1,5v4s__A
7tj6,train,55,4,1,5v4s__A
7tj8,train,0,2,2,5xsy__B;7tj8__A
7tj9,train,0,2,2,5xsy__B;7tj8__A
7tjz,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tk1,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tk2,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tk4,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tk5,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tk7,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tk8,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tk9,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tka,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkb,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkc,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkd,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tke,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkf,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkg,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkh,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tki,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkj,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkk,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkl,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkn,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tko,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkp,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkr,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tks,val,1,27,14,2wpd__I;5lqx__V;6b2z__L;6b2z__M;6cp3__7;6cp3__J;6cp3__U;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;7tjz__X;8ap9__O;9b3j__H
7tkt,train,55,4,1,5v4s__A
7tlj,train,0,8,4,3cwb__C;3cx5__D;8asi__D;8asi__E
7tmr,train,16,31,15,5gar__K;5vox__P;6c6l__O;6m0r__D;6pe4__A;6pe4__B;6qum__A;6vq6__L;6wlw__0;6wm4__O;7fda__G;7fda__H;7tmr__F;8eau__d;8eau__e
7tmw,train,0,3,3,7ad3__F;7tmw__C;8tb0__R
7tnk,train,0,4,1,7ryz__C
7tnl,train,0,4,1,7ryz__C
7tnm,train,0,4,1,7ryz__C
7tnn,train,0,4,1,7ryz__C
7tno,train,0,4,1,7ryz__C
7tnp,train,0,4,1,7ryz__C
7trk,train,0,4,4,7ad3__F;7jvp__R;7ys6__B;8ddx__J
7trp,train,0,4,4,7ad3__F;7jvp__R;7ys6__B;8ddx__J
7trq,train,0,4,4,7ad3__F;7jvp__R;7ys6__B;8ddx__J
7trs,train,0,4,4,7ad3__F;7jvp__R;7ys6__B;8ddx__J
7try,train,0,6,6,6njn__I;6pb0__U;7ad3__F;7ys6__B;8ddx__J;8flt__R
7ts0,train,0,6,6,6njn__I;6pb0__U;7ad3__F;7ys6__B;8ddx__J;8flt__R
7tth,train,65,2,1,6m1y__A
7tu9,train,0,5,1,6x3s__E
7tuw,test,2,14,2,1lgh__A;6zxa__B
7tuz,train,0,5,5,6njn__I;7ad3__F;7tuz__R;7ys6__B;8ddx__J
7tv3,test,2,32,2,1lgh__A;6zxa__B
7tvi,train,0,5,1,6x3s__E
7tvz,train,0,3,2,8cte__X;8jnj__B
7tw0,train,0,3,2,8cte__X;8jnj__B
7tw1,train,0,4,2,8cte__X;8jnj__B
7tw3,train,0,4,3,7tw3__G;8cte__X;8jnj__B
7tw5,train,0,4,3,7tw3__G;8cte__X;8jnj__B
7tw6,train,0,6,4,7tw3__G;8cte__X;8eeq__D;8jnj__B
7tyi,train,0,5,5,6e3y__P;7ad3__F;7ys6__B;8ddx__J;8flt__R
7tyl,train,0,5,5,6e3y__P;7ad3__F;7ys6__B;8ddx__J;8flt__R
7tyn,train,0,5,5,7ad3__F;7tyo__P;7ys6__B;8ddx__J;8flt__R
7tyo,train,0,5,5,7ad3__F;7tyo__P;7ys6__B;8ddx__J;8flt__R
7tys,train,0,5,2,2qks__A;8wi0__A
7tyt,train,0,5,2,2qks__A;8wi0__A
7tz6,train,0,22,11,1l0l__H;1sqq__K;3cwb__C;3cx5__D;7jrg__A;7tz6__V;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
7u1e,train,0,5,2,2qks__A;8wi0__A
7u1q,train,0,5,2,2qks__A;8wi0__A
7u1s,train,0,5,2,2qks__A;8wi0__A
7u24,train,0,5,2,2qks__A;8wi0__A
7u2k,train,0,4,4,7ad3__F;7xjj__E;7ys6__B;8ddx__J
7u2l,train,0,5,5,6njn__I;7ad3__F;7xjj__E;7ys6__B;8ddx__J
7u2m,train,0,5,1,6x3s__E
7u2n,train,0,5,1,6x3s__E
7u2o,train,0,5,1,6x3s__E
7u2x,train,0,5,2,2qks__A;8wi0__A
7u55,train,138,2,1,6is6__A
7u6y,train,0,5,2,2qks__A;8wi0__A
7u7m,train,0,5,2,2qks__A;8wi0__A
7u8g,train,0,4,4,5eul__V;7u8g__A;8dwy__L;8gz3__A
7uaa,train,0,5,2,2qks__A;8wi0__A
7udv,train,112,5,1,6mct__A
7udw,train,112,5,1,6mct__A
7udx,train,112,5,1,6mct__A
7udy,train,112,5,1,6mct__A
7udz,train,112,5,1,6mct__A
7uea,train,253,9,5,6m32__B;6m32__D;7uea__U;7z6q__A;7z6q__C
7ugg,train,0,4,1,6u84__A
7uhf,test,5,3,3,3jbr__B;6jp5__F;8x90__A
7uhg,test,5,3,3,3jbr__B;6jp5__F;8x90__A
7uk5,train,110,4,1,8sd3__A
7ukc,train,110,4,1,8sd3__A
7ukd,train,110,4,1,8sd3__A
7uke,train,110,4,1,8sd3__A
7ukf,train,110,4,1,8sd3__A
7ukg,train,110,8,2,7ukg__I;8sd3__A
7ul6,train,247,2,1,7mdf__A
7um4,train,0,2,2,7jvp__R;7um4__B
7um5,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7um6,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7um7,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7unl,train,83,2,1,6w8o__B
7unm,train,83,2,1,6w8o__B
7uqr,train,0,5,2,2qks__A;8wi0__A
7urd,train,0,2,2,7ura__A;7ure__B
7ure,train,0,4,4,5eul__V;7ura__A;7ure__B;8dwy__L
7usw,train,120,6,3,7dsv__D;7usw__A;8tkp__C
7usx,train,120,6,3,7dsv__D;7usw__A;8tkp__C
7usy,train,120,7,4,7dsv__D;7usw__A;7usy__J;8tkp__C
7utz,train,0,6,6,7ad3__F;7fig__X;7utz__R;7ys6__B;8ddx__J;8i2g__Y
7uw5,train,311,7,1,7ux1__A
7ux1,train,311,7,1,7ux1__A
7uz3,train,0,4,2,1afo__A;8jni__A
7uze,train,0,4,1,5i32__A
7uzq,train,0,4,2,7uzq__Q;7v0s__J
7v07,train,0,4,2,1afo__A;8jni__A
7v0s,train,0,4,2,7uzq__Q;7v0s__J
7v19,train,0,4,2,1afo__A;8jni__A
7v2c,train,0,44,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v2d,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7v2d__m;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v2e,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v2f,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7v2d__m;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v2h,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v2k,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7v2d__m;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v2r,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v30,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7v2d__m;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v31,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v32,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7v2d__m;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v33,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v35,train,0,5,5,5vai__P;7ad3__F;7ys6__B;8ddx__J;8flt__R
7v3m,train,0,45,44,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7v2d__m;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y;8qby__C;8qby__F;8xo0__R
7v5c,test,4,2,1,7zo8__A
7v5d,test,4,2,1,7zo8__A
7v61,train,0,8,4,5i6x__A;6njn__I;7jic__L;7v61__B
7v68,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7v69,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7v6a,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7v73,train,22,2,1,8opq__B
7v74,train,22,2,1,8opq__B
7v75,train,22,2,1,8opq__B
7v8i,test,8,4,3,5xu1__A;7mdy__A;7mdy__B
7v8l,test,8,5,4,5xu1__A;7mdy__A;7mdy__B;7v8l__A
7v8m,test,8,4,3,5xu1__A;7mdy__A;7mdy__B
7v9l,train,0,4,4,7ad3__F;7ys6__B;8ddx__J;8flt__R
7v9m,train,0,5,5,7ad3__F;7v9m__P;7ys6__B;8ddx__J;8flt__R
7vab,train,0,6,6,5eul__V;7ad3__F;7ys6__B;8ddx__J;8flt__R;8yw4__P
7vbh,train,0,5,5,5vai__P;7ad3__F;7ys6__B;8ddx__J;8flt__R
7vbi,train,0,5,5,7ad3__F;7ys6__B;8ddx__J;8flt__R;8yw4__P
7vbl,train,0,29,29,5lnk__A;5lnk__Y;5lnk__k;5xtc__Q;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6zka__l;6zka__p;6zka__x;7a23__a;7ar7__M;7ard__T;7b93__J;7b93__Z;7b93__n;7qsd__i;7qsk__f;7qsk__j;7qso__h;7v2c__d;7v2c__v;8ba0__N;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y
7vbp,train,0,29,29,5lnk__A;5lnk__Y;5lnk__k;5xtc__Q;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6zka__l;6zka__p;6zka__x;7a23__a;7ar7__M;7ard__T;7b93__Z;7b93__n;7qsd__i;7qsk__f;7qsk__j;7qso__h;7v2c__d;7v2c__v;7v2d__m;8ba0__N;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y
7vc0,train,0,29,29,5lnk__A;5lnk__Y;5lnk__k;5xtc__Q;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6zka__l;6zka__p;6zka__x;7a23__a;7ar7__M;7ard__T;7b93__J;7b93__Z;7b93__n;7qsd__i;7qsk__f;7qsk__j;7qso__h;7v2c__d;7v2c__v;8ba0__N;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8olt__Y
7vcf,train,310,15,15,7vcf__A;7vcf__B;7vcf__C;7vcf__D;7vcf__F;7vcf__G;7vcf__H;7vcf__I;7vcf__K;7vcf__M;7vcf__N;7vcf__O;7vcf__Q;7vcf__T;8z9y__B
7vdh,train,0,5,5,6njn__I;7ad3__F;7ys6__B;8ddx__J;8k4s__E
7vdl,train,0,5,5,6njn__I;7ad3__F;7ys6__B;8ddx__J;8k4s__E
7vdm,train,0,5,5,6njn__I;7ad3__F;7ys6__B;8ddx__J;8k4s__E
7vfi,test,4,2,1,7zo8__A
7vfj,train,109,6,4,7f02__B;8ce1__a;8ce1__c;8ce5__D
7vfp,train,109,6,4,7f02__B;8ce1__a;8ce1__c;8ce5__D
7vfs,test,5,3,3,5gjv__C;6jp5__F;8x90__A
7vfu,test,5,4,4,5gjv__C;6jp5__F;7vfu__E;8x90__A
7vfv,test,5,3,3,5gjv__C;6jp5__F;8x90__A
7vfw,test,5,3,3,5gjv__C;6jp5__F;8x90__A
7vfx,train,0,5,5,6njn__I;7ad3__F;7xjj__E;7ys6__B;8ddx__J
7vga,train,0,12,3,7ffo__K;7vga__A;7vga__B
7vgf,test,4,2,1,7zo8__A
7vgh,train,17,2,2,6lcr__A;7vgi__A
7vgi,train,17,2,2,6lcr__A;7vgi__A
7vgj,train,17,2,2,6lcr__A;7vgi__A
7vgr,train,174,2,1,7vgr__A
7vgs,train,174,2,1,7vgr__A
7vgx,train,0,5,5,7ad3__F;7vgx__L;7xjj__E;7ys6__B;8ddx__J
7vgy,train,0,5,5,6njn__I;7ad3__F;7vh0__A;7ys6__B;8ddx__J
7vgz,train,0,5,5,6njn__I;7ad3__F;7vh0__A;7ys6__B;8ddx__J
7vh0,train,0,5,5,6njn__I;7ad3__F;7vh0__A;7ys6__B;8ddx__J
7vh5,train,234,6,1,5ksd__A
7vh6,train,234,6,1,5ksd__A
7vhp,train,246,48,3,7vhp__A;7vhp__G;7wi3__B
7vhq,train,246,12,3,7vhp__A;7vhp__G;7wi3__B
7vie,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7vif,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7vig,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7vih,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7vkt,train,0,5,5,6njn__I;7ad3__F;7xjj__E;7ys6__B;8ddx__J
7vl8,train,0,5,5,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J
7vl9,train,0,6,6,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J;8jps__D
7vla,train,0,6,6,6njn__I;7ad3__F;7jvp__R;7ys6__B;8ddx__J;8jps__D
7vlx,train,137,6,2,7dyr__Z;8hfs__C
7vly,train,137,9,3,7dyr__Z;7vly__A;8hfs__C
7vm2,train,0,4,1,6xsr__A
7vnm,test,2,30,5,1aig__L;6zxa__B;7vnm__X;7yml__D;8zk2__H
7vnp,train,0,8,2,6e2f__E;7cr7__A
7vnq,train,0,8,2,6e2f__E;7cr7__A
7vnr,train,0,8,2,6e2f__E;7cr7__A
7vny,test,2,33,6,1aig__L;6zxa__B;7vnm__X;7vny__Y;7yml__D;8zk2__H
7voj,train,54,2,1,8zvf__B
7voy,test,2,37,4,1aig__L;6zxa__B;7yml__D;8zk2__H
7vq1,train,50,4,1,8e6q__A
7vq2,train,437,4,1,7vq2__A
7vq3,train,54,2,1,8zvf__B
7vq4,train,54,2,1,8zvf__B
7vq5,train,54,2,1,8zvf__B
7vq7,train,54,2,1,8zvf__B
7vqx,train,0,5,5,6m1i__B;7ad3__F;7ys6__B;8ddx__J;8flt__R
7vr1,train,71,2,1,8z0f__B
7vr5,test,4,2,1,7zo8__A
7vr7,train,0,3,1,9bh0__A
7vr8,train,0,3,1,9bh0__A
7vrj,test,2,36,6,1aig__L;3wmm__A;6zxa__B;7c9r__C;8zjw__A;8zk2__H
7vsg,train,17,2,2,7bss__A;7vgi__A
7vsh,train,17,2,2,6lcr__A;7vgi__A
7vsi,train,101,2,2,7wmv__B;8hg7__A
7vu5,train,436,2,1,7vu5__B
7vug,train,0,5,5,6njn__I;7ad3__F;7vug__R;7ys6__B;8ddx__J
7vuw,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
7vuy,train,0,5,5,6njn__I;7ad3__F;7ys6__B;8ddx__J;8k4s__E
7vuz,train,0,5,5,6njn__I;7ad3__F;7ys6__B;8ddx__J;8k4s__E
7vv3,train,0,5,5,6njn__I;7ad3__F;7ys6__B;8ddx__J;8k4s__E
7vv5,train,0,5,5,6njn__I;7ad3__F;7ys6__B;8ddx__J;8k4s__E
7vvj,train,0,5,5,6nbh__P;7ad3__F;7ys6__B;8ddx__J;8flt__R
7vvk,train,0,5,5,7ad3__F;7vvk__P;7ys6__B;8ddx__J;8flt__R
7vvl,train,0,5,5,7ad3__F;7vvk__P;7ys6__B;8ddx__J;8flt__R
7vvm,train,0,5,5,7ad3__F;7vvk__P;7ys6__B;8ddx__J;8flt__R
7vvn,train,0,5,5,7ad3__F;7vvk__P;7ys6__B;8ddx__J;8flt__R
7vvo,train,0,5,5,7ad3__F;7vvo__P;7ys6__B;8ddx__J;8flt__R
